Model,TBS1102C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-05
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Label,
TIME,CH1
-2.240e-02,2.64
-2.238e-02,2.56
-2.237e-02,2.56
-2.235e-02,2.56
-2.234e-02,2.48
-2.232e-02,2.48
-2.230e-02,2.32
-2.229e-02,2.32
-2.227e-02,2.32
-2.226e-02,2.24
-2.224e-02,2.24
-2.222e-02,2.16
-2.221e-02,2.08
-2.219e-02,2.08
-2.218e-02,2
-2.216e-02,2
-2.214e-02,1.92
-2.213e-02,1.92
-2.211e-02,1.92
-2.210e-02,1.84
-2.208e-02,1.84
-2.206e-02,1.76
-2.205e-02,1.76
-2.203e-02,1.68
-2.202e-02,1.68
-2.200e-02,1.6
-2.198e-02,1.6
-2.197e-02,1.6
-2.195e-02,1.52
-2.194e-02,1.52
-2.192e-02,1.44
-2.190e-02,1.44
-2.189e-02,1.36
-2.187e-02,1.36
-2.186e-02,1.36
-2.184e-02,1.28
-2.182e-02,1.2
-2.181e-02,1.2
-2.179e-02,1.2
-2.178e-02,1.12
-2.176e-02,1.12
-2.174e-02,1.12
-2.173e-02,1.04
-2.171e-02,1.04
-2.170e-02,1.04
-2.168e-02,0.96
-2.166e-02,0.96
-2.165e-02,0.96
-2.163e-02,0.88
-2.162e-02,0.88
-2.160e-02,0.88
-2.158e-02,0.8
-2.157e-02,0.8
-2.155e-02,0.8
-2.154e-02,0.72
-2.152e-02,0.72
-2.150e-02,0.72
-2.149e-02,0.64
-2.147e-02,0.64
-2.146e-02,0.56
-2.144e-02,0.56
-2.142e-02,0.56
-2.141e-02,0.56
-2.139e-02,0.48
-2.138e-02,0.48
-2.136e-02,0.48
-2.134e-02,0.48
-2.133e-02,0.4
-2.131e-02,0.4
-2.130e-02,0.4
-2.128e-02,0.4
-2.126e-02,0.32
-2.125e-02,0.32
-2.123e-02,0.32
-2.122e-02,0.32
-2.120e-02,0.32
-2.118e-02,0.24
-2.117e-02,0.24
-2.115e-02,0.24
-2.114e-02,0.24
-2.112e-02,0.24
-2.110e-02,0.24
-2.109e-02,0.16
-2.107e-02,0.16
-2.106e-02,0.16
-2.104e-02,0.16
-2.102e-02,0.16
-2.101e-02,0.16
-2.099e-02,0.08
-2.098e-02,0.16
-2.096e-02,0.08
-2.094e-02,0.08
-2.093e-02,0.08
-2.091e-02,0.08
-2.090e-02,0.08
-2.088e-02,0.08
-2.086e-02,0.08
-2.085e-02,0.08
-2.083e-02,0.08
-2.082e-02,0.08
-2.080e-02,0
-2.078e-02,0
-2.077e-02,0.08
-2.075e-02,0
-2.074e-02,0
-2.072e-02,0
-2.070e-02,0.08
-2.069e-02,0
-2.067e-02,0
-2.066e-02,0
-2.064e-02,0
-2.062e-02,0.08
-2.061e-02,0
-2.059e-02,0
-2.058e-02,0
-2.056e-02,0
-2.054e-02,0
-2.053e-02,0
-2.051e-02,0
-2.050e-02,0.08
-2.048e-02,0.08
-2.046e-02,0.08
-2.045e-02,0
-2.043e-02,0.08
-2.042e-02,0
-2.040e-02,0.08
-2.038e-02,0.08
-2.037e-02,0.08
-2.035e-02,0.08
-2.034e-02,0.16
-2.032e-02,0.16
-2.030e-02,0.16
-2.029e-02,0.16
-2.027e-02,0.16
-2.026e-02,0.16
-2.024e-02,0.24
-2.022e-02,0.16
-2.021e-02,0.24
-2.019e-02,0.24
-2.018e-02,0.24
-2.016e-02,0.24
-2.014e-02,0.24
-2.013e-02,0.32
-2.011e-02,0.32
-2.010e-02,0.24
-2.008e-02,0.32
-2.006e-02,0.4
-2.005e-02,0.32
-2.003e-02,0.4
-2.002e-02,0.4
-2.000e-02,0.4
-1.998e-02,0.4
-1.997e-02,0.48
-1.995e-02,0.48
-1.994e-02,0.56
-1.992e-02,0.56
-1.990e-02,0.48
-1.989e-02,0.64
-1.987e-02,0.64
-1.986e-02,0.64
-1.984e-02,0.72
-1.982e-02,0.72
-1.981e-02,0.64
-1.979e-02,0.8
-1.978e-02,0.8
-1.976e-02,0.8
-1.974e-02,0.8
-1.973e-02,0.88
-1.971e-02,0.88
-1.970e-02,0.96
-1.968e-02,0.96
-1.966e-02,0.96
-1.965e-02,0.96
-1.963e-02,1.04
-1.962e-02,1.04
-1.960e-02,1.04
-1.958e-02,1.12
-1.957e-02,1.12
-1.955e-02,1.2
-1.954e-02,1.2
-1.952e-02,1.2
-1.950e-02,1.28
-1.949e-02,1.28
-1.947e-02,1.36
-1.946e-02,1.36
-1.944e-02,1.44
-1.942e-02,1.44
-1.941e-02,1.44
-1.939e-02,1.52
-1.938e-02,1.52
-1.936e-02,1.6
-1.934e-02,1.68
-1.933e-02,1.6
-1.931e-02,1.68
-1.930e-02,1.68
-1.928e-02,1.76
-1.926e-02,1.76
-1.925e-02,1.84
-1.923e-02,1.92
-1.922e-02,1.92
-1.920e-02,1.92
-1.918e-02,2
-1.917e-02,2
-1.915e-02,2.08
-1.914e-02,2.08
-1.912e-02,2.16
-1.910e-02,2.16
-1.909e-02,2.24
-1.907e-02,2.32
-1.906e-02,2.32
-1.904e-02,2.32
-1.902e-02,2.4
-1.901e-02,2.48
-1.899e-02,2.56
-1.898e-02,2.48
-1.896e-02,2.56
-1.894e-02,2.64
-1.893e-02,2.64
-1.891e-02,2.72
-1.890e-02,2.72
-1.888e-02,2.8
-1.886e-02,2.8
-1.885e-02,2.88
-1.883e-02,2.96
-1.882e-02,2.96
-1.880e-02,3.04
-1.878e-02,3.04
-1.877e-02,3.12
-1.875e-02,3.12
-1.874e-02,3.2
-1.872e-02,3.28
-1.870e-02,3.28
-1.869e-02,3.36
-1.867e-02,3.36
-1.866e-02,3.44
-1.864e-02,3.52
-1.862e-02,3.52
-1.861e-02,3.52
-1.859e-02,3.6
-1.858e-02,3.68
-1.856e-02,3.68
-1.854e-02,3.76
-1.853e-02,3.76
-1.851e-02,3.84
-1.850e-02,3.92
-1.848e-02,3.92
-1.846e-02,4
-1.845e-02,4
-1.843e-02,4.08
-1.842e-02,4.08
-1.840e-02,4.24
-1.838e-02,4.16
-1.837e-02,4.24
-1.835e-02,4.32
-1.834e-02,4.4
-1.832e-02,4.4
-1.830e-02,4.48
-1.829e-02,4.56
-1.827e-02,4.56
-1.826e-02,4.64
-1.824e-02,4.64
-1.822e-02,4.72
-1.821e-02,4.8
-1.819e-02,4.88
-1.818e-02,4.88
-1.816e-02,4.88
-1.814e-02,4.96
-1.813e-02,5.04
-1.811e-02,5.04
-1.810e-02,5.12
-1.808e-02,5.2
-1.806e-02,5.2
-1.805e-02,5.28
-1.803e-02,5.28
-1.802e-02,5.36
-1.800e-02,5.44
-1.798e-02,5.52
-1.797e-02,5.6
-1.795e-02,5.6
-1.794e-02,5.6
-1.792e-02,5.68
-1.790e-02,5.76
-1.789e-02,5.76
-1.787e-02,5.84
-1.786e-02,5.84
-1.784e-02,5.92
-1.782e-02,6
-1.781e-02,6
-1.779e-02,6.08
-1.778e-02,6.08
-1.776e-02,6.16
-1.774e-02,6.24
-1.773e-02,6.24
-1.771e-02,6.32
-1.770e-02,6.4
-1.768e-02,6.4
-1.766e-02,6.4
-1.765e-02,6.48
-1.763e-02,6.56
-1.762e-02,6.56
-1.760e-02,6.64
-1.758e-02,6.72
-1.757e-02,6.72
-1.755e-02,6.8
-1.754e-02,6.88
-1.752e-02,6.88
-1.750e-02,6.96
-1.749e-02,6.96
-1.747e-02,7.04
-1.746e-02,7.12
-1.744e-02,7.12
-1.742e-02,7.12
-1.741e-02,7.2
-1.739e-02,7.2
-1.738e-02,7.28
-1.736e-02,7.36
-1.734e-02,7.36
-1.733e-02,7.44
-1.731e-02,7.52
-1.730e-02,7.52
-1.728e-02,7.52
-1.726e-02,7.68
-1.725e-02,7.68
-1.723e-02,7.68
-1.722e-02,7.68
-1.720e-02,7.76
-1.718e-02,7.84
-1.717e-02,7.84
-1.715e-02,7.92
-1.714e-02,8
-1.712e-02,7.92
-1.710e-02,8
-1.709e-02,8
-1.707e-02,8.08
-1.706e-02,8.16
-1.704e-02,8.16
-1.702e-02,8.16
-1.701e-02,8.24
-1.699e-02,8.24
-1.698e-02,8.32
-1.696e-02,8.4
-1.694e-02,8.4
-1.693e-02,8.4
-1.691e-02,8.48
-1.690e-02,8.48
-1.688e-02,8.48
-1.686e-02,8.56
-1.685e-02,8.56
-1.683e-02,8.64
-1.682e-02,8.64
-1.680e-02,8.72
-1.678e-02,8.8
-1.677e-02,8.8
-1.675e-02,8.8
-1.674e-02,8.8
-1.672e-02,8.88
-1.670e-02,8.88
-1.669e-02,8.96
-1.667e-02,8.96
-1.666e-02,8.96
-1.664e-02,8.96
-1.662e-02,9.04
-1.661e-02,9.04
-1.659e-02,9.12
-1.658e-02,9.12
-1.656e-02,9.2
-1.654e-02,9.2
-1.653e-02,9.28
-1.651e-02,9.2
-1.650e-02,9.2
-1.648e-02,9.28
-1.646e-02,9.36
-1.645e-02,9.28
-1.643e-02,9.36
-1.642e-02,9.36
-1.640e-02,9.36
-1.638e-02,9.44
-1.637e-02,9.44
-1.635e-02,9.44
-1.634e-02,9.44
-1.632e-02,9.52
-1.630e-02,9.52
-1.629e-02,9.52
-1.627e-02,9.52
-1.626e-02,9.6
-1.624e-02,9.6
-1.622e-02,9.6
-1.621e-02,9.6
-1.619e-02,9.68
-1.618e-02,9.68
-1.616e-02,9.68
-1.614e-02,9.68
-1.613e-02,9.68
-1.611e-02,9.76
-1.610e-02,9.76
-1.608e-02,9.84
-1.606e-02,9.76
-1.605e-02,9.84
-1.603e-02,9.84
-1.602e-02,9.84
-1.600e-02,9.84
-1.598e-02,9.84
-1.597e-02,9.84
-1.595e-02,9.92
-1.594e-02,9.84
-1.592e-02,9.84
-1.590e-02,9.84
-1.589e-02,9.92
-1.587e-02,9.84
