time,CH1
-1.613e-01,0.58
-1.611e-01,0.54
-1.610e-01,0.54
-1.608e-01,0.5
-1.606e-01,0.46
-1.605e-01,0.46
-1.603e-01,0.42
-1.602e-01,0.38
-1.600e-01,0.38
-1.598e-01,0.38
-1.597e-01,0.38
-1.595e-01,0.3
-1.594e-01,0.34
-1.592e-01,0.3
-1.590e-01,0.3
-1.589e-01,0.26
-1.587e-01,0.26
-1.586e-01,0.26
-1.584e-01,0.22
-1.582e-01,0.22
-1.581e-01,0.18
-1.579e-01,0.14
-1.578e-01,0.18
-1.576e-01,0.14
-1.574e-01,0.14
-1.573e-01,0.14
-1.571e-01,0.1
-1.570e-01,0.1
-1.568e-01,0.1
-1.566e-01,0.1
-1.565e-01,0.06
-1.563e-01,0.06
-1.562e-01,0.06
-1.560e-01,0.06
-1.558e-01,0.02
-1.557e-01,0.06
-1.555e-01,0.06
-1.554e-01,0.02
-1.552e-01,0.02
-1.550e-01,0.02
-1.549e-01,0.02
-1.547e-01,0.02
-1.546e-01,-0.02
-1.544e-01,-0.02
-1.542e-01,0.02
-1.541e-01,0.02
-1.539e-01,0.02
-1.538e-01,0.02
-1.536e-01,0.02
-1.534e-01,0.02
-1.533e-01,0.02
-1.531e-01,0.02
-1.530e-01,0.02
-1.528e-01,0.02
-1.526e-01,0.02
-1.525e-01,0.06
-1.523e-01,0.06
-1.522e-01,0.02
-1.520e-01,0.06
-1.518e-01,0.1
-1.517e-01,0.1
-1.515e-01,0.06
-1.514e-01,0.1
-1.512e-01,0.14
-1.510e-01,0.1
-1.509e-01,0.14
-1.507e-01,0.14
-1.506e-01,0.18
-1.504e-01,0.18
-1.502e-01,0.18
-1.501e-01,0.22
-1.499e-01,0.22
-1.498e-01,0.26
-1.496e-01,0.26
-1.494e-01,0.3
-1.493e-01,0.26
-1.491e-01,0.3
-1.490e-01,0.34
-1.488e-01,0.34
-1.486e-01,0.38
-1.485e-01,0.38
-1.483e-01,0.38
-1.482e-01,0.46
-1.480e-01,0.42
-1.478e-01,0.46
-1.477e-01,0.5
-1.475e-01,0.5
-1.474e-01,0.54
-1.472e-01,0.58
-1.470e-01,0.54
-1.469e-01,0.58
-1.467e-01,0.62
-1.466e-01,0.66
-1.464e-01,0.66
-1.462e-01,0.7
-1.461e-01,0.7
-1.459e-01,0.74
-1.458e-01,0.78
-1.456e-01,0.82
-1.454e-01,0.82
-1.453e-01,0.86
-1.451e-01,0.9
-1.450e-01,0.9
-1.448e-01,0.94
-1.446e-01,0.94
-1.445e-01,1.02
-1.443e-01,1.02
-1.442e-01,1.02
-1.440e-01,1.1
-1.438e-01,1.1
-1.437e-01,1.14
-1.435e-01,1.14
-1.434e-01,1.22
-1.432e-01,1.22
-1.430e-01,1.26
-1.429e-01,1.26
-1.427e-01,1.3
-1.426e-01,1.34
-1.424e-01,1.38
-1.422e-01,1.42
-1.421e-01,1.46
-1.419e-01,1.46
-1.418e-01,1.46
-1.416e-01,1.54
-1.414e-01,1.54
-1.413e-01,1.58
-1.411e-01,1.62
-1.410e-01,1.62
-1.408e-01,1.66
-1.406e-01,1.7
-1.405e-01,1.74
-1.403e-01,1.74
-1.402e-01,1.78
-1.400e-01,1.82
-1.398e-01,1.82
-1.397e-01,1.86
-1.395e-01,1.9
-1.394e-01,1.9
-1.392e-01,1.94
-1.390e-01,1.98
-1.389e-01,2.02
-1.387e-01,2.02
-1.386e-01,2.06
-1.384e-01,2.1
-1.382e-01,2.1
-1.381e-01,2.18
-1.379e-01,2.14
-1.378e-01,2.18
-1.376e-01,2.22
-1.374e-01,2.26
-1.373e-01,2.26
-1.371e-01,2.3
-1.370e-01,2.34
-1.368e-01,2.34
-1.366e-01,2.34
-1.365e-01,2.42
-1.363e-01,2.38
-1.362e-01,2.42
-1.360e-01,2.46
-1.358e-01,2.5
-1.357e-01,2.5
-1.355e-01,2.5
-1.354e-01,2.54
-1.352e-01,2.54
-1.350e-01,2.58
-1.349e-01,2.62
-1.347e-01,2.62
-1.346e-01,2.66
-1.344e-01,2.66
-1.342e-01,2.7
-1.341e-01,2.7
-1.339e-01,2.7
-1.338e-01,2.74
-1.336e-01,2.74
-1.334e-01,2.74
-1.333e-01,2.78
-1.331e-01,2.78
-1.330e-01,2.82
-1.328e-01,2.82
-1.326e-01,2.82
-1.325e-01,2.86
-1.323e-01,2.9
-1.322e-01,2.86
-1.320e-01,2.9
-1.318e-01,2.9
-1.317e-01,2.9
-1.315e-01,2.9
-1.314e-01,2.9
-1.312e-01,2.94
